ID,Input1,Type,Input2
G1,SI,NAND,CLK
G2,G1,NAND,G1
G3,G2,NAND,CLK
Q0,G3,NAND,G2
G5,Q0,NAND,CLK
G6,G5,NAND,G5
G7,G6,NAND,CLK
Q1,G7,NAND,G6
G9,Q1,NAND,CLK
G10,G9,NAND,G9
G11,G10,NAND,CLK
Q2,G11,NAND,G10
G13,Q2,NAND,CLK
G14,G13,NAND,G13
G15,G14,NAND,CLK
Q3,G15,NAND,G14
G17,Q3,NAND,CLK
G18,G17,NAND,G17
G19,G18,NAND,CLK
Q4,G19,NAND,G18
G21,Q4,NAND,CLK
G22,G21,NAND,G21
G23,G22,NAND,CLK
Q5,G23,NAND,G22
G25,Q5,NAND,CLK
G26,G25,NAND,G25
G27,G26,NAND,CLK
Q6,G27,NAND,G26
G29,Q6,NAND,CLK
G30,G29,NAND,G29
G31,G30,NAND,CLK
Q7,G31,NAND,G30
