ID,Input1,Type,Input2
G1,SI,NAND,CLK
G2,G1,NAND,G1
G3,G2,NAND,CLK
Q0,G3,NAND,G2
G5,Q0,NAND,CLK
G6,G5,NAND,G5
G7,G6,NAND,CLK
Q1,G7,NAND,G6
G9,Q1,NAND,CLK
G10,G9,NAND,G9
G11,G10,NAND,CLK
Q2,G11,NAND,G10
G13,Q2,NAND,CLK
G14,G13,NAND,G13
G15,G14,NAND,CLK
Q3,G15,NAND,G14
G17,Q3,NAND,CLK
G18,G17,NAND,G17
G19,G18,NAND,CLK
Q4,G19,NAND,G18
G21,Q4,NAND,CLK
G22,G21,NAND,G21
G23,G22,NAND,CLK
Q5,G23,NAND,G22
G25,Q5,NAND,CLK
G26,G25,NAND,G25
G27,G26,NAND,CLK
Q6,G27,NAND,G26
G29,Q6,NAND,CLK
G30,G29,NAND,G29
G31,G30,NAND,CLK
Q7,G31,NAND,G30
G33,Q7,NAND,CLK
G34,G33,NAND,G33
G35,G34,NAND,CLK
Q8,G35,NAND,G34
G37,Q8,NAND,CLK
G38,G37,NAND,G37
G39,G38,NAND,CLK
Q9,G39,NAND,G38
G41,Q9,NAND,CLK
G42,G41,NAND,G41
G43,G42,NAND,CLK
Q10,G43,NAND,G42
G45,Q10,NAND,CLK
G46,G45,NAND,G45
G47,G46,NAND,CLK
Q11,G47,NAND,G46
G49,Q11,NAND,CLK
G50,G49,NAND,G49
G51,G50,NAND,CLK
Q12,G51,NAND,G50
G53,Q12,NAND,CLK
G54,G53,NAND,G53
G55,G54,NAND,CLK
Q13,G55,NAND,G54
G57,Q13,NAND,CLK
G58,G57,NAND,G57
G59,G58,NAND,CLK
Q14,G59,NAND,G58
G61,Q14,NAND,CLK
G62,G61,NAND,G61
G63,G62,NAND,CLK
Q15,G63,NAND,G62
G65,Q15,NAND,CLK
G66,G65,NAND,G65
G67,G66,NAND,CLK
Q16,G67,NAND,G66
G69,Q16,NAND,CLK
G70,G69,NAND,G69
G71,G70,NAND,CLK
Q17,G71,NAND,G70
G73,Q17,NAND,CLK
G74,G73,NAND,G73
G75,G74,NAND,CLK
Q18,G75,NAND,G74
G77,Q18,NAND,CLK
G78,G77,NAND,G77
G79,G78,NAND,CLK
Q19,G79,NAND,G78
G81,Q19,NAND,CLK
G82,G81,NAND,G81
G83,G82,NAND,CLK
Q20,G83,NAND,G82
G85,Q20,NAND,CLK
G86,G85,NAND,G85
G87,G86,NAND,CLK
Q21,G87,NAND,G86
G89,Q21,NAND,CLK
G90,G89,NAND,G89
G91,G90,NAND,CLK
Q22,G91,NAND,G90
G93,Q22,NAND,CLK
G94,G93,NAND,G93
G95,G94,NAND,CLK
Q23,G95,NAND,G94
G97,Q23,NAND,CLK
G98,G97,NAND,G97
G99,G98,NAND,CLK
Q24,G99,NAND,G98
G101,Q24,NAND,CLK
G102,G101,NAND,G101
G103,G102,NAND,CLK
Q25,G103,NAND,G102
G105,Q25,NAND,CLK
G106,G105,NAND,G105
G107,G106,NAND,CLK
Q26,G107,NAND,G106
G109,Q26,NAND,CLK
G110,G109,NAND,G109
G111,G110,NAND,CLK
Q27,G111,NAND,G110
G113,Q27,NAND,CLK
G114,G113,NAND,G113
G115,G114,NAND,CLK
Q28,G115,NAND,G114
G117,Q28,NAND,CLK
G118,G117,NAND,G117
G119,G118,NAND,CLK
Q29,G119,NAND,G118
G121,Q29,NAND,CLK
G122,G121,NAND,G121
G123,G122,NAND,CLK
Q30,G123,NAND,G122
G125,Q30,NAND,CLK
G126,G125,NAND,G125
G127,G126,NAND,CLK
Q31,G127,NAND,G126
G129,Q31,NAND,CLK
G130,G129,NAND,G129
G131,G130,NAND,CLK
Q32,G131,NAND,G130
G133,Q32,NAND,CLK
G134,G133,NAND,G133
G135,G134,NAND,CLK
Q33,G135,NAND,G134
G137,Q33,NAND,CLK
G138,G137,NAND,G137
G139,G138,NAND,CLK
Q34,G139,NAND,G138
G141,Q34,NAND,CLK
G142,G141,NAND,G141
G143,G142,NAND,CLK
Q35,G143,NAND,G142
G145,Q35,NAND,CLK
G146,G145,NAND,G145
G147,G146,NAND,CLK
Q36,G147,NAND,G146
G149,Q36,NAND,CLK
G150,G149,NAND,G149
G151,G150,NAND,CLK
Q37,G151,NAND,G150
G153,Q37,NAND,CLK
G154,G153,NAND,G153
G155,G154,NAND,CLK
Q38,G155,NAND,G154
G157,Q38,NAND,CLK
G158,G157,NAND,G157
G159,G158,NAND,CLK
Q39,G159,NAND,G158
G161,Q39,NAND,CLK
G162,G161,NAND,G161
G163,G162,NAND,CLK
Q40,G163,NAND,G162
G165,Q40,NAND,CLK
G166,G165,NAND,G165
G167,G166,NAND,CLK
Q41,G167,NAND,G166
G169,Q41,NAND,CLK
G170,G169,NAND,G169
G171,G170,NAND,CLK
Q42,G171,NAND,G170
G173,Q42,NAND,CLK
G174,G173,NAND,G173
G175,G174,NAND,CLK
Q43,G175,NAND,G174
G177,Q43,NAND,CLK
G178,G177,NAND,G177
G179,G178,NAND,CLK
Q44,G179,NAND,G178
G181,Q44,NAND,CLK
G182,G181,NAND,G181
G183,G182,NAND,CLK
Q45,G183,NAND,G182
G185,Q45,NAND,CLK
G186,G185,NAND,G185
G187,G186,NAND,CLK
Q46,G187,NAND,G186
G189,Q46,NAND,CLK
G190,G189,NAND,G189
G191,G190,NAND,CLK
Q47,G191,NAND,G190
