ID,Input1,Type,Input2
G1,S3,NOT,-
G2,I0,AND,G1
G3,I1,AND,S3
G4,G2,OR,G3
G5,S3,NOT,-
G6,I2,AND,G5
G7,I3,AND,S3
G8,G6,OR,G7
G9,S2,NOT,-
G10,G4,AND,G9
G11,G8,AND,S2
G12,G10,OR,G11
G13,S3,NOT,-
G14,I4,AND,G13
G15,I5,AND,S3
G16,G14,OR,G15
G17,S3,NOT,-
G18,I6,AND,G17
G19,I7,AND,S3
G20,G18,OR,G19
G21,S2,NOT,-
G22,G16,AND,G21
G23,G20,AND,S2
G24,G22,OR,G23
G25,S1,NOT,-
G26,G12,AND,G25
G27,G24,AND,S1
G28,G26,OR,G27
G29,S3,NOT,-
G30,I8,AND,G29
G31,I9,AND,S3
G32,G30,OR,G31
G33,S3,NOT,-
G34,I10,AND,G33
G35,I11,AND,S3
G36,G34,OR,G35
G37,S2,NOT,-
G38,G32,AND,G37
G39,G36,AND,S2
G40,G38,OR,G39
G41,S3,NOT,-
G42,I12,AND,G41
G43,I13,AND,S3
G44,G42,OR,G43
G45,S3,NOT,-
G46,I14,AND,G45
G47,I15,AND,S3
G48,G46,OR,G47
G49,S2,NOT,-
G50,G44,AND,G49
G51,G48,AND,S2
G52,G50,OR,G51
G53,S1,NOT,-
G54,G40,AND,G53
G55,G52,AND,S1
G56,G54,OR,G55
G57,S0,NOT,-
G58,G28,AND,G57
G59,G56,AND,S0
G60,G58,OR,G59
Y,G60,BUF,-
